,City Name,Cloudiness,Country,Humidity,Latitude,Query URL,Temperature,Wind Speed,id
105,Busselton,100,AU,100,-33.64,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=busselton,13.53,3.75,2075265
106,Kumluca,0,TR,37,36.37,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=kumluca,17.88,0.5,305681
107,Resen,20,MK,53,41.09,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=resen,25.0,1.05,786341
108,Broken Hill,92,AU,47,-31.97,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=broken hill,13.68,5.2,2173911
109,Ambon,0,FR,73,47.55,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=ambon,21.0,2.1,3037899
110,Codroipo,0,IT,78,45.96,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=codroipo,23.7,1.0,3178496
111,Tuatapere,0,NZ,100,-46.13,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=tuatapere,3.33,2.35,2180815
114,Dikson,88,RU,97,73.51,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=dikson,0.63,7.2,1507390
117,Nikolskoye,40,RU,62,59.7,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=nikolskoye,12.0,6.0,546105
118,Hilo,1,US,73,19.71,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=hilo,18.53,5.65,5855927
120,Yanam,56,IN,87,16.73,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=yanam,29.18,7.25,1252795
121,Puerto Madryn,0,AR,86,-42.77,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=puerto madryn,9.33,1.85,3840092
122,Nchelenge,0,ZM,47,-9.35,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=nchelenge,18.18,2.7,175499
123,Butaritari,88,KI,100,3.07,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=butaritari,29.03,3.75,2110227
124,Pevek,44,RU,99,69.7,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=pevek,-0.02,1.25,2122090
128,Waipawa,92,NZ,96,-39.94,http://api.openweathermap.org/data/2.5/weather?appid=dcfadfba0c3f9d2c5a431ecbe681f246&units=metric&q=waipawa,8.78,6.5,2185329
